id,arc,tags,gold,cooldown,effect,title,desc,source,confidence,note
endow_public_games,Rome,ROM,20,5,prestige,Endow Public Games,Fund civic games and distributions that make public generosity visible in the capital.,P8.1;CAH-XI,secure,Player-facing abstraction of Roman civic benefaction rather than a claim about one festival or calendar.
fund_the_annona,Rome,ROM,30,5,stability,Fund the Annona,Commit public funds to the grain supply reaching Roma.,P8.1;CAH-XI,secure,Bounded representation of the plan's annona system and not an annual grain-shipment ledger.
consult_the_senate,Rome,ROM,10,4,legitimacy,Consult the Senate,Seek a deliberative settlement with the senatorial order before acting.,P8.1;CAH-XI,secure,Does not assert that the Senate could veto every imperial decision.
audit_provincial_governors,Rome,ROM,15,6,legitimacy,Audit Provincial Governors,Review provincial administration and make official accountability conspicuous.,P8.1;CAH-XI,contested,Administrative abstraction without an invented audit date or office-holder record.
repair_consular_roads,Rome,ROM,25,6,stability,Repair Consular Roads,Direct resources to the maintenance of the imperial road network.,P8.1;ORB,secure,Uses the plan's ORBIS road context without asserting a particular repair campaign.
renew_auxiliary_compacts,Rome,ROM,20,5,prestige,Renew Auxiliary Compacts,Renew terms with allied communities supplying frontier service.,P8.1;CAH-XI,contested,Gameplay handle for auxiliary relationships rather than a treaty text.
receive_foreign_embassy,Rome,ROM,10,4,prestige,Receive a Foreign Embassy,Stage a formal reception for envoys at the Roman court.,P8.1;CAH-XI,secure,Does not identify an embassy or prescribe an outcome.
dedicate_a_votive_offering,Rome,ROM,10,3,stability,Dedicate a Votive Offering,Make a public offering in response to civic hopes and anxieties.,P8.1;CAH-XI,secure,Religious-cultural abstraction that does not represent a named cult as state doctrine.
review_the_classics,China,HAN,15,5,legitimacy,Review the Classics,Commission a courtly review of canonical learning and its public use.,P8.3;CAH-XI,secure,Does not project a later examination system into the Western Han.
inspect_the_commanderies,China,HAN,20,6,legitimacy,Inspect the Commanderies,Send an inspection through the commandery administration.,P8.3;CAH-XI,secure,Administrative abstraction without an invented itinerary or official.
open_granary_reserves,China,HAN,30,5,stability,Open Granary Reserves,Release stored grain to ease local scarcity and calm public alarm.,P8.3;CAH-XI,contested,Does not assert a specific harvest failure or a quantified reserve.
dispatch_a_frontier_envoy,China,HAN,15,5,prestige,Dispatch a Frontier Envoy,Send an envoy to maintain relations beyond the imperial frontier.,P8.3;CAH-XI,secure,Does not identify a historical embassy or foreign recipient.
sponsor_irrigation_works,China,HAN,25,6,stability,Sponsor Irrigation Works,Support locally organized water works serving fields and settlements.,P8.3;CAH-XI,contested,No claim of a named canal or universally centralized water management.
scrutinize_the_registers,China,HAN,15,5,legitimacy,Scrutinize the Registers,Review household and administrative registers held by the state.,P8.3;CAH-XI,secure,Does not reconstruct the AD 2 census at household level.
honor_filial_service,China,HAN,10,4,prestige,Honor Filial Service,Recognize exemplary service framed through familial and public obligation.,P8.3;CAH-XI,contested,Value-language abstraction rather than an attested award or biography.
remit_local_corvee,China,HAN,25,6,stability,Remit Local Corvee,Grant temporary relief from obligatory labour in a strained locality.,P8.3;CAH-XI,contested,Does not assert a specific tax or labour decree.
convene_the_great_houses,Persia-steppe,PAR,20,5,legitimacy,Convene the Great Houses,Seek a negotiated settlement with powerful Arsacid-era houses.,P8.2;CAH-XI,secure,Does not claim a fixed constitutional council or a named noble family.
safeguard_caravan_routes,Persia-steppe,PAR;CHA;ELY;PRS,25,6,stability,Safeguard Caravan Routes,Fund protection and maintenance along politically important overland routes.,P8.2;CAH-XI,contested,No claim that every caravan route was policed by a central state.
mint_silver_drachms,Persia-steppe,PAR;CHA;ELY;PRS,20,5,prestige,Mint Silver Drachms,Issue a carefully presented silver coinage for royal prestige and exchange.,P8.2;CAH-XI,secure,Does not reconstruct a mint, standard, or surviving coin type.
hold_a_royal_hunt,Persia-steppe,PAR,20,5,prestige,Hold a Royal Hunt,Stage a courtly hunt to display royal competence and hierarchy.,P8.2;CAH-XI,contested,Symbolic court action rather than a claim about a particular hunt.
endow_a_fire_temple,Persia-steppe,PAR;PRS;ATR,20,5,stability,Endow a Fire Temple,Support a Zoroastrian sacred establishment within the realm.,P8.2;CAH-XI,contested,Does not specify doctrine, clergy, site, or uniform royal control.
renew_dynastic_marriages,Persia-steppe,PAR;CHA;ELY;PRS,15,6,legitimacy,Renew Dynastic Marriages,Use marriage diplomacy to bind courts and subordinate houses.,P8.2;CAH-XI,contested,No named spouse, marriage date, or genealogy is asserted.
endow_a_water_tank,India-SEA,SAT;KAL;CHE;CHL;PND,20,6,stability,Endow a Water Tank,Support a water-storage work serving a settlement and its cultivators.,P8.4;CAH-XI,contested,Does not identify a particular tank or assign it to a single dynasty.
invite_a_learned_teacher,India-SEA,SAT;ISK;YDH;ARJ;KUN,15,5,prestige,Invite a Learned Teacher,Invite a teacher whose learning can strengthen courtly reputation.,P8.4;CAH-XI,contested,No school, teacher, or doctrinal affiliation is specified.
patronize_sangam_poetry,India-SEA,CHE;CHL;PND,15,5,prestige,Patronize Sangam Poetry,Support the circulation and performance of Tamil poetic culture.,P8.4;CAH-XI,contested,Broad Sangam-era cultural abstraction rather than an attribution of a poem or court.
maintain_a_monsoon_port,India-SEA,SAT;CHE;CHL;PND;MAL;JAV,25,6,stability,Maintain a Monsoon Port,Support a port community adapted to seasonal maritime exchange.,P8.4;P8.9;PER,secure,Does not identify an exact harbour footprint or a single sailing season.
receive_an_overseas_trader,India-SEA,SAT;CHE;CHL;PND;MAL;JAV,10,4,prestige,Receive an Overseas Trader,Offer a formal welcome to a trader arriving by the sea routes.,P8.4;P8.9;PER,contested,Does not establish a named trader or a permanent foreign community.
sponsor_a_pilgrimage,Religion,JUD;NAB;SAT;CHE;CHL;PND,15,5,stability,Sponsor a Pilgrimage,Support travel to a sacred place without defining a single doctrine or destination.,P8.1;P8.4;CAH-XI,contested,Player-facing religious patronage abstraction.
recognize_a_local_cult,Religion,ROM;PAR;HAN;SAT;CHE;CHL;PND,10,4,prestige,Recognize a Local Cult,Make a public gesture of recognition toward an established local cult.,P8.1;P8.2;P8.3;P8.4;CAH-XI,contested,Does not convert pops or assert a legal formula of toleration.
convene_a_doctrinal_assembly,Religion,ROM;PAR;HAN;SAT;CHE;CHL;PND,20,8,legitimacy,Convene a Doctrinal Assembly,Invite learned religious voices to deliberate under official protection.,P8.1;P8.2;P8.3;P8.4;CAH-XI,contested,Generic council mechanic not a claim of a named council before its attested date.
patronize_a_meditation_house,Religion,SAT;ISK;YDH;ARJ;KUN;CHE;CHL;PND,20,6,stability,Patronize a Meditation House,Support a local religious community dedicated to study and practice.,P8.4;CAH-XI,contested,Does not identify a monastery, sect, or foundation chronology.
protect_a_sacred_grove,Religion,SAB;HIM;QAT;HAD;CHE;CHL;PND,15,5,stability,Protect a Sacred Grove,Set aside resources for the care of a recognized sacred landscape.,P8.4;P8.6;CAH-XI,contested,Landscape-based abstraction without a named shrine or ownership claim.
renew_warband_oaths,Barbaricum,MCM;CRU;CHT;FRI;LAN;SEM;HER;QUA;GUT;VAN;RUG;BRG,15,4,legitimacy,Renew Warband Oaths,Renew personal bonds between leaders and armed followers.,P8.7;CAH-XI,contested,Does not impose a uniform Germanic political structure.
hold_a_tribal_assembly,Barbaricum,MCM;CRU;CHT;FRI;LAN;SEM;HER;QUA;GUT;VAN;RUG;BRG,10,4,legitimacy,Hold a Tribal Assembly,Call leading groups together to air disputes and reach a settlement.,P8.7;CAH-XI,contested,Assembly is a gameplay abstraction and not a reconstructed constitution.
give_hall_gifts,Barbaricum,MCM;CRU;CHT;FRI;LAN;SEM;HER;QUA;GUT;VAN;RUG;BRG,20,5,prestige,Give Hall Gifts,Distribute high-status gifts to bind followers and allies.,P8.7;CAH-XI,contested,No claim of a named hall, gift assemblage, or hierarchy.
settle_a_blood_feud,Barbaricum,MCM;CRU;CHT;FRI;LAN;SEM;HER;QUA;GUT;VAN;RUG;BRG,20,6,stability,Settle a Blood Feud,Use compensation and mediation to contain a dangerous feud.,P8.7;CAH-XI,contested,Does not assert a uniform legal tariff or ethnic custom.
convene_a_desert_caravan,Other-worlds,GAR;AKS;SAB;HAD,20,5,prestige,Convene a Desert Caravan,Support a caravan gathering linking desert and coastal exchange.,P8.5;P8.6;CAH-XI,contested,No claim about a named route or a fixed state monopoly.
honor_a_royal_copartnership,Other-worlds,KUS,15,5,legitimacy,Honor a Royal Copartnership,Make a public gesture supporting shared royal authority.,P8.5;CAH-XI,secure,Bounded reference to Kushite co-rule and not a general dynastic reconstruction.
fund_an_exchange_feast,Other-worlds,HOP;PLA;PAC,15,5,prestige,Fund an Exchange Feast,Support a gathering where gifts and relationships travel across a regional network.,P8.10;CAH-XI,contested,Does not define a uniform North American institution or a dated ceremony.
support_ocean_wayfinding,Other-worlds,TON;MEL;MIC,20,6,stability,Support Ocean Wayfinding,Commit resources to seafaring knowledge and inter-island connections.,P8.9;CAH-XI,contested,Applies only to the plan's western-Oceanian scope and does not imply eastern Polynesian settlement.
