key,name,home,source,confidence,note
antq_aspurgid_claimant_house,Aspurgid Claimant House,taman,P8.1;OCD;PLE;ZAV-ASP,contested,Engine continuity label for Aspurgus as a Bosporan claimant and not a claim of settled parentage or a resolved AD 1 succession.
antq_buyeo_royal_house,Buyeo Royal House,nongan,P8.3;SAM;AKS-DAE;KCI-BUY,contested,Engine continuity label for Daeso in the project's broad Buyeo tag and not a claim that Northern and Eastern Buyeo were a single uninterrupted polity.
antq_pythodorid_royal_house,Pythodorid Royal House,poti_caucasus,P8.2;OCD;PLE;STR-CLZ;TSU-CLZ;BM-TRY,contested,Engine continuity label for Pythodoris of Pontus and her directly attested daughter Antonia Tryphaena at Colchis; it does not claim a complete formally reconstructed dynasty.
antq_azes_dynasty,Azes Dynasty,attock,P8.4;CAH-XI;IRAN-AZES,contested,Engine continuity label for the coin-attested Indo-Scythian Azes sequence; its exact internal genealogy remains contested.
antq_late_indo_greek_royal_house,Late Indo-Greek Royal House,sagala,P8.4;CAH-XI;IRAN-IGR,contested,Engine continuity label for Strato II's last Indo-Greek court and not a claim of a reconstructed genealogy.
antq_persid_royal_house,Persid Royal House,istakhr,P8.2;OCD;IRAN-PRS;IRIS-NAM,contested,Engine continuity label for Nambed's coin-attested Persid court; it does not claim a reconstructed genealogy.
antq_characenian_royal_house,Characenian Royal House,muhammerah,P8.2;OCD;IRAN-CHA;SCHU-CHA,contested,Engine continuity label for Attambelos II's coin-attested Characenian rule; it does not claim a reconstructed genealogy.
antq_anuradhapura_royal_house,Anuradhapura Royal House,anuradhapura,P8.4;CAH-XI;SRI-BHAT,contested,Engine dynasty label for the AD 1 Lankan court; it does not claim a reconstructed formal dynastic name or complete genealogy.
antq_julio_claudian_dynasty,Julio-Claudian,rome,P8.1;OCD,secure,The start roster uses the plan's Julio-Claudian house label for Augustus and his named court.
antq_scribonian_court_line,Scribonian Court Line,rome,P8.1;OCD-SCR,secure,Engine identity label for Scribonia in Roman-world context; it does not claim a current Roman residence a full Scribonian genealogy or a reconstructed household role.
antq_aemilian_paullus_court_line,Aemilian Paullus Court Line,rome,P8.1;FASTI-CONS-AD1,secure,Engine continuity label for the documented AD 1 ordinary consul; it does not reconstruct the Aemilian genealogy marriage or any later career.
antq_herennian_picens_court_line,Herennius Picens Court Line,rome,P8.1;FASTI-CONS-AD1,secure,Engine continuity label for the documented AD 1 suffect consul; it does not reconstruct the Herennii genealogy a campaign-start appointment or a residence.
antq_vinician_court_line,Vinician Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Vinician genealogy campaign office residence or career.
antq_alfenian_varus_court_line,Alfenian Varus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct an Alfenian genealogy campaign office residence or career.
antq_cornelian_scipio_court_line,Cornelian Scipio Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_quinctian_crispinus_court_line,Quinctian Crispinus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Quinctian genealogy campaign office residence or career.
antq_servilian_court_line,Servilian Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Servilian genealogy campaign office residence or career.
antq_silian_court_line,Silian Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Silian genealogy campaign office residence or career.
antq_volusian_saturninus_court_line,Volusian Saturninus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Volusian genealogy campaign office residence or career.
antq_aelian_catus_court_line,Aelian Catus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct an Aelian genealogy campaign office residence or career.
antq_sentian_saturninus_court_line,Sentian Saturninus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Sentian genealogy campaign office residence or career.
antq_sentian_saturninus_junior_court_line,Sentian Saturninus Junior Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Sentian genealogy campaign office residence or career.
antq_clodian_licinus_court_line,Clodian Licinus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Clodian genealogy campaign office residence or career.
antq_valerian_messalla_volesus_court_line,Valerian Messalla Volesus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Valerian genealogy campaign office residence or career.
antq_cornelian_cinna_court_line,Cornelian Cinna Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_vibian_postumus_court_line,Vibian Postumus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Vibian genealogy campaign office residence or career.
antq_aemilian_lepidus_court_line,Aemilian Lepidus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct an Aemilian genealogy campaign office residence or career.
antq_nonian_asprenas_court_line,Nonian Asprenas Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Nonian genealogy campaign office residence or career.
antq_caecilian_silanus_court_line,Caecilian Silanus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Caecilian genealogy campaign office residence or career.
antq_licinian_silanus_court_line,Licinian Silanus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Licinian genealogy campaign office residence or career.
antq_furian_camillus_court_line,Furian Camillus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Furian genealogy campaign office residence or career.
antq_nonian_quinctilianus_court_line,Nonian Quinctilianus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Nonian genealogy campaign office residence or career.
antq_apronian_court_line,Apronian Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct an Apronian genealogy campaign office residence or career.
antq_vibian_habitus_court_line,Vibian Habitus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Vibian genealogy campaign office residence or career.
antq_poppaean_sabinus_court_line,Poppaean Sabinus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Poppaean genealogy campaign office residence or career.
antq_sulpician_camerinus_court_line,Sulpician Camerinus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Sulpician genealogy campaign office residence or career.
antq_papian_mutilus_court_line,Papian Mutilus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Papian genealogy campaign office residence or career.
antq_poppaean_secundus_court_line,Poppaean Secundus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Poppaean genealogy campaign office residence or career.
antq_cornelian_dolabella_court_line,Cornelian Dolabella Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_junian_silanus_court_line,Junian Silanus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Junian genealogy campaign office residence or career.
antq_cornelian_lentulus_court_line,Cornelian Lentulus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_junian_blaesus_court_line,Junian Blaesus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Junian genealogy campaign office residence or career.
antq_statilian_taurus_court_line,Statilian Taurus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Statilian genealogy campaign office residence or career.
antq_cassian_longinus_court_line,Cassian Longinus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Cassian genealogy campaign office residence or career.
antq_fonteian_capito_court_line,Fonteian Capito Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Fonteian genealogy campaign office residence or career.
antq_visellian_varro_court_line,Visellian Varro Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested suffect; it does not reconstruct a Visellian genealogy campaign office residence or career.
antq_silian_largus_court_line,Silian Largus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Silian genealogy campaign office residence or career.
antq_munatian_plancus_court_line,Munatian Plancus Court Line,rome,P8.1;FASTI-CONS-2-13,secure,Engine identity label for the Fasti-attested consul; it does not reconstruct a Munatian genealogy campaign office residence or career.
antq_pompeian_sextus_court_line,Pompeian Sextus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Pompeian genealogy campaign office residence or career.
antq_appuleian_sextus_court_line,Appuleian Sextus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct an Appuleian genealogy campaign office residence or career.
antq_norbanian_flaccus_court_line,Norbanian Flaccus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Norbanian genealogy campaign office residence or career.
antq_junian_silanus_consul_15_court_line,Junian Silanus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Junian genealogy campaign office residence or career.
antq_statilian_sisenna_court_line,Statilian Sisenna Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Statilian genealogy campaign office residence or career.
antq_scribonian_libo_court_line,Scribonian Libo Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Scribonian genealogy campaign office residence or career.
antq_vibian_rufus_court_line,Vibian Rufus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Vibian genealogy campaign office residence or career.
antq_pomponian_graecinus_court_line,Pomponian Graecinus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Pomponian genealogy campaign office residence or career.
antq_pomponian_flaccus_court_line,Pomponian Flaccus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Pomponian genealogy campaign office residence or career.
antq_caelian_rufus_court_line,Caelian Rufus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Caelian genealogy campaign office residence or career.
antq_vibian_marsus_court_line,Vibian Marsus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Vibian genealogy campaign office residence or career.
antq_voluseian_proculus_court_line,Voluseian Proculus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Voluseian genealogy campaign office residence or career.
antq_seian_tubero_court_line,Seian Tubero Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Seian genealogy campaign office residence or career.
antq_livineian_regulus_court_line,Livineian Regulus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Livineian genealogy campaign office residence or career.
antq_rubellian_blandus_court_line,Rubellian Blandus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Rubellian genealogy campaign office residence or career.
antq_vipstanian_gallus_court_line,Vipstanian Gallus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Vipstanian genealogy campaign office residence or career.
antq_junian_torquatus_court_line,Junian Torquatus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Junian genealogy campaign office residence or career.
antq_norbanian_balbus_court_line,Norbanian Balbus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Norbanian genealogy campaign office residence or career.
antq_petronian_publius_court_line,Petronian Publius Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Petronian genealogy campaign office residence or career.
antq_valerian_barbatus_court_line,Valerian Barbatus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Valerian genealogy campaign office residence or career.
antq_aurelian_cotta_court_line,Aurelian Cotta Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct an Aurelian genealogy campaign office residence or career.
antq_aemilian_scaurus_court_line,Aemilian Scaurus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct an Aemilian genealogy campaign office residence or career.
antq_tremellian_court_line,Tremellian Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Tremellian genealogy campaign office residence or career.
antq_haterian_agrippa_court_line,Haterian Agrippa Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Haterian genealogy campaign office residence or career.
antq_sulpician_galba_court_line,Sulpician Galba Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Sulpician genealogy campaign office residence or career.
antq_asinian_pollio_consul_23_court_line,Asinian Pollio Consul of 23 Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for the later Pollio homonym; it does not reconstruct an Asinian genealogy campaign office residence or career.
antq_antistian_vetus_court_line,Antistian Vetus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct an Antistian genealogy campaign office residence or career.
antq_stertinian_maximus_court_line,Stertinian Maximus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Stertinian genealogy campaign office residence or career.
antq_cornelian_cethegus_court_line,Cornelian Cethegus Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_visellian_lucius_court_line,Visellian Lucius Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Visellian genealogy campaign office residence or career.
antq_calpurnian_aviola_court_line,Calpurnian Aviola Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Calpurnian genealogy campaign office residence or career.
antq_cornelian_lentulus_scipio_court_line,Cornelian Lentulus Scipio Court Line,rome,P8.1;COO-FASTI-14-24;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_cornelian_cossus_court_line,Cornelian Cossus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_petronian_gaius_court_line,Petronian Gaius Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct a Petronian genealogy campaign office residence or career.
antq_cornelian_gaetulicus_court_line,Cornelian Gaetulicus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Cornelian genealogy campaign office residence or career.
antq_calvisian_sabinus_court_line,Calvisian Sabinus Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Calvisian genealogy campaign office residence or career.
antq_antistian_lucius_court_line,Antistian Lucius Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti suffect; it does not reconstruct an Antistian genealogy campaign office residence or career.
antq_calpurnian_piso_consul_27_court_line,Calpurnian Piso Consul of 27 Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for the later Piso homonym; it does not reconstruct a Calpurnian genealogy campaign office residence or career.
antq_licinian_crassus_frugi_court_line,Licinian Crassus Frugi Court Line,rome,P8.1;COO-FASTI-25-32;OUP-CURSUS,contested,Engine identity label for a later Fasti consul; it does not reconstruct a Licinian genealogy campaign office residence or career.
